Index,comune,3065,4025,1194,3008,3106,1272,4215,4089,4203,4040,1128,4028,103015,1045,5005,4078,1059,96080,1248,2158,96004,3157,6003,3024,1189,4130,4066,1191,4029,4185,103049,1012,5080,1038,6039,6177,1086,2016,1280,1183,1051,1219,1270,1292,1115,1013,6114,6001,6121,4003,1078,1156,4196,2079,3068,1082,1164,1125,1098,1066,6174,1265,103050,103028,103072,1198,1275,1171,1237
0,96079,34645.13,188802.7,94921.45,68065.6,42735.49,69658.4,137640.39,153252.91,143284.67,190296.54,88590.33,185187.74,98246.33,87332.59,117324.57,181946.74,112157.73,21154.74,73775.83,27751.59,16485.34,60066.26,92527.0,56676.97,76608.15,163498.57,180260.6,114181.04,141775.95,193509.65,108186.36,73744.48,118303.69,92912.11,66380.35,82841.16,76495.27,44438.58,84708.1,78194.1,94073.39,79636.45,117276.79,68656.04,97448.75,90575.42,121624.41,123165.91,125675.38,146469.89,79674.86,78795.97,156367.5,31981.69,48310.7,45739.56,91449.37,49231.48,67415.27,58892.9,114707.28,59168.33,81260.27,124000.77,98710.44,132562.09,127760.44,87520.65,79495.85
1,103027,116728.99,324042.32,230161.07,93766.26,127211.82,204898.02,272880.01,288492.53,278524.29,325536.16,223829.95,320427.36,43321.88,222572.21,218108.99,317186.36,247397.35,162988.48,209015.45,146934.72,145663.6,96336.61,193311.42,93707.79,211847.77,298738.19,315500.22,249420.66,259038.33,328749.27,31699.79,208984.1,219088.11,228151.73,167164.77,183625.58,211734.89,99721.34,219947.72,213433.72,229313.01,214876.07,252516.41,203895.66,232688.37,225815.04,222408.83,223950.33,226459.8,247254.31,214914.48,214035.59,257151.92,167221.31,148999.09,180979.18,226688.99,184471.1,202654.89,194132.52,215491.69,194407.95,65774.68,29107.05,40795.22,267801.71,263000.06,222760.27,214735.47
2,6139,137260.8,178717.31,150399.42,155205.74,116771.43,134675.54,100680.28,101861.76,114657.21,180211.14,172782.11,175102.34,185386.46,153288.41,53037.97,171861.35,138929.17,129376.59,167196.46,99536.41,144432.52,147206.4,38323.61,143817.11,148308.16,137787.56,117657.42,163039.7,82746.25,183424.25,195326.5,116837.57,27846.87,145252.3,76802.44,65850.51,169915.9,148140.15,119177.1,123598.57,134227.61,142151.37,183232.6,151664.93,163404.56,156531.24,42099.39,11170.42,9808.16,70962.24,115223.09,126600.72,64527.47,131965.9,125296.27,145723.77,131058.07,149053.31,167237.1,158714.73,59204.79,135949.55,168400.41,211140.91,185850.57,181420.76,176619.1,139141.74,172916.49
3,6080,140985.19,205259.78,154333.46,158930.13,120495.82,138609.58,144639.4,145820.89,158616.33,206753.62,176716.15,201644.82,189110.86,157222.45,85776.04,198403.82,142863.21,133100.99,171130.51,103260.81,148156.92,150930.79,34292.33,147541.5,152242.2,164330.03,144199.89,166973.75,126705.38,209966.73,199050.89,120771.62,64282.14,149186.34,80526.84,44394.94,173849.95,151864.55,123111.14,127532.61,138161.66,146085.41,187166.65,155598.98,167338.61,160465.28,11756.27,52995.53,36439.16,114921.36,119157.13,130534.77,124818.97,135690.3,129020.66,149448.17,134992.12,152777.7,170961.49,162439.12,17207.76,139883.59,172124.8,214865.3,189574.97,185354.8,180553.15,143075.78,176850.53
4,5088,115998.34,118297.72,108749.44,133943.29,95508.98,93025.57,84535.48,85716.96,98512.4,119791.55,131132.14,129951.76,164124.01,111638.44,37544.35,111441.75,97279.2,108114.14,125546.49,78273.96,123170.07,125943.95,26235.51,122554.65,106658.18,96714.59,95696.53,121389.73,66601.45,138273.67,174064.04,75187.6,12353.26,103602.33,55539.99,42107.28,128265.93,126877.7,77527.12,81948.59,92577.64,100501.4,141582.63,110014.96,121754.59,114881.27,50953.23,11890.12,31607.16,54817.43,73573.12,84950.75,64715.04,110703.45,104033.82,124461.32,89408.1,127790.86,145974.64,137452.27,57221.2,94299.58,147137.96,189878.45,164588.12,139770.79,134969.13,97491.77,131266.52
5,6061,80650.72,126178.88,104140.69,98595.66,60161.35,88416.81,92416.65,93598.13,106393.57,127672.72,131964.47,137832.93,128776.39,107029.69,32873.74,119322.92,92670.44,72766.52,117149.97,42926.34,87822.45,90596.32,22601.7,87207.03,102049.43,104595.75,162801.92,116780.98,74327.56,146154.84,138716.42,70578.85,53607.42,98993.57,14414.83,20239.35,119869.41,91530.08,72918.37,77339.84,87968.89,95892.64,136973.88,112030.18,117145.84,110272.51,56928.14,58469.64,60979.11,62543.54,68964.36,80342.0,72441.15,75355.83,68686.19,63723.84,84799.35,92443.23,110627.02,102104.65,46542.19,102542.47,111790.33,154530.83,129240.5,135162.03,130360.38,92883.01,122869.99
6,3042,8436.32,208612.03,114730.78,35800.43,16406.89,89467.73,157449.72,173062.24,163094.0,210105.87,108399.66,204997.07,69664.04,107141.93,102314.2,201756.07,131967.07,47558.19,93585.16,31139.93,48937.67,25415.38,77516.64,26501.88,96417.48,183307.9,200069.93,133990.37,143243.54,213318.98,79604.08,93553.82,103293.32,112721.45,51369.98,67830.8,96304.6,34495.14,104517.43,98003.43,113882.72,99445.79,137086.12,88465.37,117258.08,110384.76,106614.05,108155.54,110665.01,131459.52,99484.19,98605.3,141357.13,51791.02,22021.39,65548.89,111258.7,69040.81,87224.6,78702.23,99696.91,78977.67,51085.18,95418.49,70128.15,152371.42,147569.77,107329.99,99305.19
7,96039,57214.5,187227.78,93346.53,77156.5,69753.87,69136.32,136065.46,151677.99,141709.75,188721.61,87015.41,183612.82,107337.23,85757.67,137208.07,180371.82,110582.81,26877.58,73785.84,54769.97,12955.4,65435.29,113268.31,59080.52,75033.23,161923.65,178685.68,112606.11,140201.03,191934.73,117277.26,78119.38,139045.0,91337.19,87121.66,103582.47,76505.28,50103.36,99500.38,77672.02,92498.47,78061.53,115701.87,67081.11,95873.82,89000.5,142365.72,143907.22,146416.69,144916.35,79152.78,77979.13,153270.52,36170.66,75329.08,56483.0,89874.45,17932.79,43665.57,35143.2,135448.58,61462.94,82996.07,133091.67,107801.34,130987.17,126185.52,85945.73,79505.86
8,3039,11479.28,207129.67,113248.42,50490.77,14413.88,87985.37,155967.36,171579.88,161611.64,208623.51,106917.3,203514.71,80671.5,105659.57,100831.84,200273.71,130484.71,46075.83,92102.8,26645.65,47455.31,29822.12,76034.27,39102.14,94935.12,181825.54,198587.57,132508.01,141761.18,211836.62,90611.53,92071.46,101810.96,111239.09,49887.62,66348.44,94822.24,43425.19,103035.07,96521.07,112400.36,97963.42,135603.76,86983.01,115775.72,108902.4,105131.68,106673.18,109182.65,129977.16,98001.83,97122.94,139874.77,50308.66,27137.23,64066.53,109776.34,67558.45,85742.24,77219.87,98214.55,77495.3,63685.44,106425.94,81135.61,150889.06,146087.41,105847.62,97822.83
